,Ticker
955,SYY
956,PEP
957,AVAV
958,FSS
959,NPO
960,AI
961,PCH
962,TTD
963,GOLF
964,CSGP
965,OXY
966,PRIM
967,GBCI
968,BMY
969,BGC
970,DD
971,FE
972,PRFT
973,PPL
974,SWK
975,GEF
976,UPS
977,CZR
978,K
979,QTWO
980,NWS
981,AMGN
982,ATGE
983,HSIC
984,JCI
985,MHO
986,ORLY
987,ZBRA
988,JNPR
989,WDAY
